date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-12,49,76,52,24,24,0,52,84,19,6,4,56,13,83,73,90,83,19
2025-07-19,75,37,1,21,76,69,14,45,10,90,71,48,55,93,33,4,50,43
2025-07-26,83,22,32,61,40,42,98,12,92,3,59,3,2,24,16,64,39,53
2025-08-02,89,79,19,48,43,30,99,20,17,36,34,53,96,17,65,97,67,55
2025-08-09,69,83,43,87,52,11,36,98,60,69,38,11,25,52,80,34,35,26
2025-08-16,72,93,87,63,75,18,64,75,82,93,79,6,95,54,87,1,37,81
2025-08-23,95,28,39,28,67,88,69,57,60,14,28,57,46,53,41,40,97,13
2025-08-30,11,21,89,54,90,39,63,3,78,22,50,19,71,66,15,53,22,84
2025-09-06,26,30,89,72,51,36,13,96,60,92,15,14,84,15,39,25,82,65
2025-09-13,52,7,32,5,8,68,57,40,56,45,12,94,59,73,86,79,2,26
2025-09-20,42,30,64,3,98,50,38,22,68,92,83,51,96,77,74,59,24,68
2025-09-27,6,58,65,36,51,36,76,55,43,92,55,88,27,91,24,3,64,94
2025-10-04,91,54,95,9,49,35,69,47,19,55,68,67,19,5,20,29,35,40
2025-10-11,38,24,84,28,48,77,29,13,99,68,15,76,81,97,0,16,88,38
2025-10-18,67,5,90,89,53,47,56,53,34,30,59,23,85,65,81,82,80,19
2025-10-25,17,11,78,6,66,63,30,50,98,89,71,18,0,95,14,50,13,33
2025-11-01,31,93,78,25,19,7,74,72,32,87,95,83,8,48,56,52,57,10
2025-11-08,53,12,11,21,33,61,12,45,64,41,9,93,44,78,49,51,69,85
2025-11-15,61,38,48,75,96,43,50,24,23,85,0,67,63,34,26,71,92,83
2025-11-22,16,64,93,88,18,3,56,85,11,43,8,59,30,23,63,67,80,44
2025-11-29,50,1,46,86,11,15,92,65,47,52,58,32,29,95,15,36,72,61
2025-12-06,58,50,8,5,32,18,80,95,79,1,5,72,78,1,8,77,75,77
2025-12-13,97,52,91,22,58,33,40,90,38,78,83,79,24,64,77,74,10,99
2025-12-20,70,9,21,65,76,45,13,38,81,59,51,18,5,80,8,62,39,69
2025-12-27,66,96,57,82,86,25,19,46,83,32,13,9,88,96,30,38,77,31
2026-01-03,84,17,6,58,76,83,82,57,6,58,33,67,25,52,49,28,62,24
2026-01-10,58,67,83,73,5,83,0,31,50,31,53,5,31,19,53,18,3,8
2026-01-17,67,79,80,52,91,52,36,69,45,58,36,90,62,51,77,30,63,30
2026-01-24,26,64,60,8,82,33,8,28,36,48,87,8,76,3,39,79,78,22
2026-01-31,89,88,63,55,4,99,99,5,3,97,83,59,21,91,94,91,16,51
2026-02-07,82,87,15,6,47,52,59,15,39,15,95,33,50,76,39,82,9,24
2026-02-14,87,77,75,2,57,14,53,26,56,18,85,50,3,73,72,19,10,17
2026-02-21,63,58,29,41,57,4,16,80,95,32,15,63,6,90,49,84,71,73
2026-02-28,39,93,63,48,20,64,21,27,58,99,46,33,89,51,43,79,17,17
2026-03-07,26,15,72,8,68,79,66,80,18,30,49,42,43,24,31,96,28,45
2026-03-14,35,46,45,59,89,24,53,83,48,75,28,23,14,51,79,74,80,17
2026-03-21,32,53,45,95,47,82,57,39,72,76,5,66,2,61,37,46,24,99
2026-03-28,2,92,58,50,57,6,25,95,23,3,28,9,89,34,86,86,19,70
2026-04-04,34,23,34,86,8,68,15,17,67,89,79,93,73,55,12,60,85,59
2026-04-11,67,3,27,88,98,63,79,22,65,46,45,30,43,93,2,12,20,31
2026-04-18,89,28,28,52,89,14,77,87,72,55,36,7,61,90,98,10,51,68
2026-04-25,22,21,53,1,91,48,64,52,52,99,6,20,86,26,4,53,41,12
2026-05-02,15,15,40,79,2,23,97,1,56,85,9,26,46,42,58,3,5,15
2026-05-09,69,10,71,89,57,75,35,57,65,26,92,66,32,32,51,0,69,15
2026-05-16,72,65,85,5,18,78,91,54,3,1,86,52,10,38,50,52,63,83
2026-05-23,19,77,90,15,44,28,95,85,22,90,49,57,26,63,8,53,10,66
2026-05-30,7,62,30,41,46,90,8,3,93,3,59,32,96,66,4,33,70,0
2026-06-06,36,0,98,29,55,94,46,22,98,77,50,94,50,16,98,62,53,97
2026-06-13,14,26,91,92,61,68,68,83,62,75,84,22,75,29,73,41,36,72
2026-06-20,90,20,38,3,49,21,27,15,57,77,99,87,52,11,40,80,16,60
2026-06-27,30,97,65,68,0,19,86,83,43,69,40,8,18,66,22,84,88,70
2026-07-04,9,73,11,39,40,35,75,67,13,55,64,51,70,60,59,70,81,73
2026-07-11,90,76,50,88,55,33,8,67,53,52,39,37,77,90,58,74,15,96
